B0.02,2 Nov - 6 Nov,Room capacity: 90,,,,,,,,,,B0.02,9 Nov - 13 Nov,Room capacity: 90,,,,,,,,
,Monday 2nd ,No. of registered students ,Tuesday 3rd,,Wednesday 4th ,,Thursday 5th,,Friday 6th,,,,Monday 2nd ,No. of registered students ,Tuesday 3rd,,Wednesday 4th ,,Thursday 5th,,Friday 6th,
9:00 - 10:00,COMP30190,29,,,COMP30190,29,,,COMP30220,38,,9:00 - 10:00,COMP30190,29,,,COMP30190,29,,,COMP30220,38
10:00 - 11:00,COMP40660,53,COMP30110,45,COMP40660,53,COMP30110,45,,,,10:00 - 11:00,COMP40660,53,COMP30110,45,COMP40660,53,COMP30110,45,,
11:00 - 12:00,,,COMP30260,18,COMP30250,22,COMP40370,27,COMP30190,29,,11:00 - 12:00,,,COMP30260,18,COMP30250,22,COMP40370,27,COMP30190,29
12:00 - 13:00,COMP30250,22,COMP40370,27,COMP41690 (Practical),60,COMP30260,18,,,,12:00 - 13:00,COMP30250,22,COMP40370,27,COMP41690 (Practical),60,COMP30260,18,,
13:00 - 14:00,COMP41690,60,,,COMP41690 (Lecture),60,COMP47290,0,COMP30170,51,,13:00 - 14:00,COMP41690,60,,,COMP41690 (Lecture),60,COMP47290,0,COMP30170,51
14:00 - 15:00,COMP30260,18,COMP30240,42,COMP30220,38,COMP30240,42,COMP30240,42,,14:00 - 15:00,COMP30260,18,COMP30240,42,COMP30220,38,COMP30240,42,COMP30240,42
15:00 - 16:00,,,,,COMP30520 & COMP41110,79,COMP30520,60,,,,15:00 - 16:00,,,,,COMP30520 & COMP41110,79,COMP30520,60,,
16:00 - 17:00,COMP40660,53,COMP40370,27,COMP30250,22,,,,,,16:00 - 17:00,COMP40660,53,COMP40370,27,COMP30250,22,,,,
17:00 - 18:00,,,,,,,,,,,,17:00 - 18:00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,No class timetabled,,,,,,,,,,,,,,,,,,,,,
,Unclear if class went ahead,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
